20250320	04:52:42	7d01f635-0590-45f6-a611-244d8e25c369	/new-page	GET
20250320	04:52:42	71f0938f-1df2-44da-a760-668c21c93719	/css/style.css	GET
20250320	04:52:42	4265ce95-2013-4932-b2ce-0668cf7809cc	/img/img1.jpg	GET
20250320	04:52:43	90e268fc-0f46-40cf-aaaf-8b60cd8affbb	/favicon.ico	GET
20250320	04:53:54	d5c02b17-3e68-4d6b-bbb4-7cbc5b745eae	/new-page	GET
20250321	04:16:22	f913c2bb-0774-4143-84eb-1a17aac099f5	GET	undefined	/
20250321	04:16:22	9a02562d-73de-4ac4-ae08-6e38e0513f07	GET	undefined	/css/style.css
20250321	04:19:51	2139963e-b515-48b7-93b8-2c90c270b981	GET	undefined	/
20250321	04:19:51	8bdd3894-5442-4d7e-9ca4-597eff6ef58b	GET	undefined	/css/style.css
20250321	04:21:34	654e2ef5-071d-4f69-988d-7bbaf96f7b37	OPTIONS	https://www.google.com	/
20250321	04:21:34	a5a4741c-98d5-47d0-8ff0-87a6c6df805c	GET	https://www.google.com	/
20250321	04:24:12	6c7ab6d7-c030-40ba-b3ca-41db57be09c7	OPTIONS	https://www.google.com	/
20250321	04:24:12	ff45c22f-9c4b-4316-89d0-68f47db79d0c	GET	https://www.google.com	/
20250322	02:54:21	2a9e3f35-405b-45db-8c6a-4bc3879454e2	OPTIONS	https://www.google.com	/
20250322	02:54:21	f08670b9-4a84-404a-a4be-2aa60b7f0815	GET	https://www.google.com	/
20250322	02:55:01	2fa50ff9-81bf-4983-9641-327fe8cbb8cc	OPTIONS	https://www.google.com	/
20250322	02:55:02	b267d06a-7324-405b-9c5b-b991046c1e21	GET	https://www.google.com	/
20250322	03:00:13	482282bb-95bd-4e94-b5f5-723eceda8df0	GET	undefined	/
20250322	03:01:36	3d06f303-bf37-4068-b00a-4bc5e7691db6	GET	undefined	/
20250322	03:01:45	1c6ac775-0c75-4c04-bdb5-e6debc2ca81f	GET	undefined	/
20250322	03:01:47	1e6f7cd4-956e-4c87-bb99-56963f9c102f	GET	undefined	/
20250322	03:02:11	2a1374c7-896a-4b08-b073-2607456ab906	GET	undefined	/
20250322	03:02:11	814785e4-fd91-462f-afb5-15b4a8df3900	GET	undefined	/css/style.css
20250322	03:11:13	e354ddb3-5035-4101-b96a-eccfc88235cc	GET	undefined	/
20250322	03:12:57	c4f88e6c-4790-4624-aeaf-10615e28b3b8	GET	undefined	/
20250322	03:12:57	01fd3473-829e-46d8-a37a-68ccfa8ad214	GET	undefined	/css/style.css
20250322	03:14:36	605dcb86-83f3-49d9-b54e-dfbc9b417883	GET	undefined	/dave
20250322	03:14:36	5ae099ff-8d06-484c-8824-c37828d0ac5f	GET	undefined	/css/style.css
20250322	03:18:03	c44cb25e-d990-41ad-90dc-8dc5d9ba12f1	GET	undefined	/dave
20250322	03:18:03	2b67ca1a-1eaf-4180-b422-fade88b90d8a	GET	undefined	/css/style.css
20250322	03:28:14	4339a9b5-db12-422c-b72a-a036f6955759	GET	undefined	/
20250322	03:28:14	6c4eb6ee-e980-4c16-b97f-29fb5e3d3dbb	GET	undefined	/css/style.css
20250322	03:28:29	aaa04b4c-cf7d-442c-ab35-8ef24ac946fe	GET	undefined	/subdir/
20250322	03:28:47	3090f724-54fb-4f74-8b37-4a8d67e9d532	GET	undefined	/subdir/test
20250322	03:28:47	bd1004c2-e78b-4acc-8dd3-5c2a4873f2fc	GET	undefined	/subdir/css/style.css
20250322	03:28:56	838babfa-23c2-48f9-8644-f75a5b27da77	GET	undefined	/subdir/test.html
20250322	03:28:56	20b2afd3-286b-47ab-b672-69a78d4ef2a0	GET	undefined	/subdir/css/style.css
20250322	03:29:43	cf706605-3007-4195-984b-fc0dc4183b0d	GET	undefined	/subdir/dave
20250322	03:29:43	a552a185-be19-48c8-a1bf-5d1599bf849a	GET	undefined	/subdir/css/style.css
20250322	03:31:04	64ab949c-25af-4116-88cf-21d404ff3586	GET	undefined	/subdir/dave
20250322	03:31:04	4ecebbea-19d8-4973-ae59-d258ff60846b	GET	undefined	/subdir/css/style.css
20250322	03:33:54	2fba48f2-1290-4523-93ca-133fc811217e	GET	undefined	/subdir/test
20250322	03:41:07	7a41ad45-f6c3-4726-a712-3d5d4aec182a	GET	undefined	/
20250322	03:41:07	1f53d3a5-1e66-44a8-85e2-1454b43cb624	GET	undefined	/css/style.css
20250322	03:41:32	6e7a6fbf-2409-4f72-9791-1940790c8a68	GET	undefined	/new-page
20250322	03:41:32	29b1afdd-4fcb-4ffe-8ab5-3d5bd98c1ca5	GET	undefined	/css/style.css
20250322	03:41:32	aa588c58-6e14-4db4-82e5-4b8230751c12	GET	undefined	/img/img1.jpg
20250322	03:41:52	60e8de7f-8ce8-4614-a643-575b4c0960fe	GET	undefined	/old-page
20250322	03:41:52	68a7f50f-e143-4603-8a94-0324f5f4d80e	GET	undefined	/new-page.html
20250322	03:41:52	58a39d52-689d-4e56-a6d4-518f16c2a5f2	GET	undefined	/css/style.css
20250322	03:41:52	a0ac9895-01dd-4cc4-8b3b-5707cfdc9682	GET	undefined	/img/img1.jpg
20250322	03:42:02	b3576680-871c-414f-8273-5797b83d03a6	GET	undefined	/new-page
20250322	03:42:02	605f2e37-a073-4e09-82b2-74c982282dc0	GET	undefined	/img/img1.jpg
20250322	03:42:02	46a06f30-3bf4-41a9-b546-10453113d618	GET	undefined	/css/style.css
20250322	03:42:07	2e0673b0-a02a-4dd8-a795-376ef8bf49dd	GET	undefined	/index
20250322	03:42:07	28597e79-6b00-456a-9ce8-65e55569fc6e	GET	undefined	/css/style.css
20250323	04:18:24	30272af0-8a46-4f2d-9348-aa74bb347e68	GET	undefined	/employees
20250323	04:20:16	5e588995-cdd4-4d33-bf10-5ed9eb40f9ef	POST	undefined	/employees
20250323	04:22:08	acf46c26-0bc8-4ba6-9a32-14ca16184932	PUT	undefined	/employees
20250323	04:23:32	ea363c29-ef78-4599-a239-efcf6f59032b	DELETE	undefined	/employees
20250323	04:24:22	1ce7eddb-a13e-4129-8829-1f42ee2aa05b	GET	undefined	/employees/1
20250324	04:50:50	a2578ee6-7879-41af-862c-40ec49a6dee3	GET	undefined	/employees
20250324	04:52:09	8cfa33c6-ae90-44c6-8214-b67a9b0b3d1c	POST	undefined	/employees
20250324	04:53:29	7bc7b269-c64b-4f3b-891f-b1ee35a126b9	PUT	undefined	/employees
20250324	04:54:50	5f2993ae-ad7e-4c6d-b1d6-94e405c60303	DELETE	undefined	/employees
20250324	04:55:59	3e01cbfe-af96-49e4-8656-97835180b700	DELETE	undefined	/employees
20250324	04:56:14	a0c46fa1-9c29-4aa8-b7ee-742a482bfc3d	GET	undefined	/employees
20250324	04:56:32	d11146bf-5b66-4298-ab75-e0fe2a7d68b3	DELETE	undefined	/employees
20250324	04:56:51	1e805b6c-abbc-4a76-8329-9809af26d005	GET	undefined	/employees/2
20250324	06:26:35	2a31b939-593e-4d37-9fc8-d74f86e34f34	POST	undefined	/register
20250324	06:27:08	887a47bc-dcb2-425f-a922-1db3e1dbc19b	POST	undefined	/register
20250325	04:40:37	8dd142e2-52a1-4cf6-b3bd-8ec35b4090df	POST	undefined	/auth
20250325	04:40:52	0c11b21a-a598-4a0e-b424-062f87953a3d	POST	undefined	/auth
20250325	04:41:30	d310aff9-61b4-408c-b2c7-49e0f3986689	POST	undefined	/register
20250325	05:25:36	62436ede-75aa-4340-80ea-0640cc04ad6b	POST	undefined	/auth
